entity_id;name;description;category;url
37022;"GOPRO - HEAD STRAP+ - Elastico testa aggancio rapido";"Peso (Kg): 0.281";"TEMPO LIBERO/FOTOGRAFIA/GOPRO";https://www.andronico.it/it_IT/2140000546.html
37023;"CANON RP-108";"Formato: A6 (10x15)<br>Grammatura (g/m2): 250<br>Qualità carta: Lucida<br>Numero fogli per confezione: 108<br>Tipo carta: Fotografica<br>Carta Fotografica<br>Impiego - applicazione: Ink Photo<br>Altezza foglio (mm): 148<br>Larghezza foglio (mm): 100<br>Stampanti compatibili: SELPHY CP1300 SELPHY CP1200 SELPHY CP1000 SELPHY CP910 SELPHY CP820<br>Anni di garanzia del costruttore: 2<br>Peso (Kg): 0.2";INFORMATICA/STAMPA/CARTA;https://www.andronico.it/it_IT/2150012343.html
37024;"The Legend of Zelda Breath of the Wild";"Piattaforma: SWITCH<br>Genere: Avventura<br>Pegi: 12<br>Fornitore: Nintendo<br>Titolo: The Legend of Zelda Breath of the Wild - Nintendo Switch<br>Trama: Scala torri e montagne in cerca di nuove destinazioni. poi scegli un percorso per raggiungerle e parti all'avventura. Lungo la strada affronterai nemici giganteschi. caccerai animali selvatici e raccoglierai il cibo e le pozioni che ti servono per sopravv<br>Numero giocatori supportati: 1<br>Lingue: Italiano<br>Pubblicato da: Nintendo<br>Distribuito da: Nintendo<br>Peso (g): 150";"GAMING/NINTENDO/GIOCHI NINTENDO SWITCH";https://www.andronico.it/it_IT/2170003131.html
37025;"CANON SELPHY CP1300 BLACK";"STAMPANTE FOTOGRAFICA. CON TECNOLOGIA DI STAMPA A SUBLIMAZIONE. PORTATILE. MASSIMO FORMATO A6. RISOLUZIONE 300 X 300 DPI. NUMERO DI COLORI 3. CON DISPLAY LCD. WIRELESS. SLOT MEMORY CARD. USB. PICTBRIDGE. ALIMENTAZIONE RETE+BATTERIE";"TEMPO LIBERO/FOTOGRAFIA/MIRRORLESS";https://www.andronico.it/it_IT/2170017555.html
37026;"CANON SELPHY CP1300 WHITE";"STAMPANTE FOTOGRAFICA. CON TECNOLOGIA DI STAMPA A SUBLIMAZIONE. PORTATILE. MASSIMO FORMATO A6. RISOLUZIONE 300 X 300 DPI. NUMERO DI COLORI 3. CON DISPLAY LCD. WIRELESS. SLOT MEMORY CARD. USB. PICTBRIDGE. ALIMENTAZIONE RETE+BATTERIE";"TEMPO LIBERO/FOTOGRAFIA/MIRRORLESS";https://www.andronico.it/it_IT/2170017569.html
37027;"CANON SELPHY CP1300 PINK";"Peso (Kg): 0.862<br>Altezza (cm): 13.6<br>Larghezza (cm): 18.06<br>Profondità (cm): 6.33<br>STAMPANTE FOTOGRAFICA. CON TECNOLOGIA DI STAMPA A SUBLIMAZIONE. PORTATILE. MASSIMO FORMATO A6. RISOLUZIONE 300 X 300 DPI. NUMERO DI COLORI 3. CON DISPLAY LCD. WIRELESS. SLOT MEMORY CARD. USB. PICTBRIDGE. ALIMENTAZIONE RETE+BATTERIE<br>Anni di garanzia del costruttore: 2";"TEMPO LIBERO/FOTOGRAFIA/MIRRORLESS";https://www.andronico.it/it_IT/2170017570.html
37028;"CANON EOS 2000D + EF-S 18-55mm IS II";"MegaPixel totali: 24.7<br>Stabilizzatore di immagine: Ottico<br>Lunghezza focale minima (mm): 18<br>Lunghezza focale massima (mm): 55<br>Dimensione display LCD ( pollici): 3<br>Filmati HD: Sì<br>Zoom ottico (X): 3<br>Formato sensore: APS-C<br>Tipologia fotocamera: Reflex + obiettivo<br>HD: HD Full<br>Pixel effettivi: 24100000<br>Grandangolare: Sì<br>Zoom digitale (X): 1<br>Tipo di zoom: Ottico<br>ASA/ISO regolabili: Sì";"TEMPO LIBERO/FOTOGRAFIA/REFLEX";https://www.andronico.it/it_IT/2180002982.html
37029;"CANON PowerShot SX740 HS BLACK";"MegaPixel totali: 21.1<br>Zoom ottico (X): 40<br>Stabilizzatore di immagine: Ottico<br>Dimensione display LCD ( pollici): 3<br>Formato sensore: 1/2.3<br>Filmati HD: Sì<br>Tipologia fotocamera: Compatta<br>HD: HD Full<br>Pixel effettivi: 20300000<br>Grandangolare: Sì<br>Zoom interpolato (X): 160<br>Zoom digitale (X): 4<br>Tipo di zoom: Ottico e Digitale<br>Lunghezza focale minima (mm): 4.3<br>Lunghezza focale massima (mm): 172";"TEMPO LIBERO/FOTOGRAFIA/COMPATTE";https://www.andronico.it/it_IT/2180019609.html
37030;"EPSON Expression Premium XP-6105";"Multifunzione: 3 in 1<br>Colore: A colori <br>Wi-Fi: Sì<br>Fronte retro: Automatico<br>Risoluzione stampa: 5.760x1.440 dpi<br>Risoluzione scanner: 1.200x4.800 dpi<br>Fotocopiatrice: Sì<br>Funzione scanner: Sì<br>Funzione stampante: Sì<br>Alimentazione: Rete<br>Portatile o da tavolo: Da tavolo<br>e-Print: Sì<br>Display LCD: Sì<br>Pagine per minuto a colori: 32<br>Pagine per minuto bianco e nero: 32";"INFORMATICA/STAMPA/MULTIFUNZIONE AD INCHIOSTRO";https://www.andronico.it/it_IT/2180021220.html
37031;"TOSHIBA - TR200";"Tipo di Hard-Disk: Esterno<br>Capacità hard-disk (GB): 240<br>Formato (pollici): 2.5<br>Tecnologia HDD: SATA<br>Alimentazione: Esterna<br>Data Transfer Rate USB 3.0 (Gb/s): 6<br>Altre caratteristiche: TLC 3D BiCS FLASH a 64 strati<br>Sequential Read/Write Speed: Up to 555/540 MB/s<br>Random Read/Write Speed (4KiB): Up to 82.000/88.000 IOPS<br>Sistemi operativi compatibili: Windows® 10. Windows® 8.1. Windows® 7. Linux® Fedora21. Mint 17.1. OpenSUSE 13.2. Ubuntu 14.04. Ubuntu 14.10. Mac® OS X® 10.9. 10.10. 10.11<br>Peso (Kg): 0.045";INFORMATICA/STORAGE/SSD;https://www.andronico.it/it_IT/2190003764.html
37032;"EPSON ET-M1120";"Colore: Bianco e nero<br>Tecnologia di stampa: Inkjet<br>Fronte retro: Manuale<br>Risoluzione stampa: 1.440 x 720 dpi<br>Massimo formato di stampa: A4<br>Portatile o da tavolo: Da tavolo<br>e-Print: Sì<br>Wireless LAN: Sì<br>Alimentazione: Rete<br>Pagine per minuto bianco e nero: 32<br>Velocità di stampa b/n Standard ISO/IEC 24734(ipm): 15<br>Scanner con film / adattatore diapositive: Sì<br>USB: Sì<br>Capacità cassetto carta (fogli): 150<br>Numero di cartucce / toner: 1";"INFORMATICA/STAMPA/STAMPANTI AD INCHIOSTRO";https://www.andronico.it/it_IT/2190005338.html
37033;"CANON EOS 250D BLACK 18-55 IS";"MegaPixel totali: 25.8<br>Stabilizzatore di immagine: Ottico<br>Lunghezza focale minima (mm): 18<br>Lunghezza focale massima (mm): 55<br>Dimensione display LCD ( pollici): 3<br>Filmati HD: Sì<br>Zoom ottico (X): 3<br>Formato sensore: APS-C<br>Tipologia fotocamera: Reflex + obiettivo<br>Touchscreen: Sì<br>HD: HD Full<br>Pixel effettivi: 24100000<br>Zoom digitale (X): 1<br>Tipo di zoom: Ottico<br>ASA/ISO regolabili: Sì";"TEMPO LIBERO/FOTOGRAFIA/REFLEX";https://www.andronico.it/it_IT/2190005979.html
